university_name,undergrad_enrollment,grad_enrollment,year,total_enrollment
Trinity College of Florida,189,null,2023,189
Trinity College of Nursing & Health Sciences,59,17,2023,76
Trinity Episcopal School for Ministry,null,227,2023,227
Trinity International University-Florida,69,43,2023,112
Trinity International University-Illinois,140,712,2023,852
Trinity Law School,null,364,2023,364
Trinity University,2531,163,2023,2694
Trinity Valley Community College,5300,null,2023,5300
Trinity Washington University,1604,261,2023,1865
Trocaire College,1104,null,2023,1104
Troy University,10468,3455,2023,13923
Truckee Meadows Community College,10006,null,2023,10006
Truett McConnell University,2612,102,2023,2714
Truman State University,3302,334,2023,3636
Tufts University,6877,6397,2023,13274
Tulane University,8077,5001,2023,13078
Turtle Mountain Community College,688,10,2023,698
Tusculum University,1022,178,2023,1200
Tuskegee University,2400,446,2023,2846
Tyler Junior College,11977,null,2023,11977
Union Adventist University,536,99,2023,635
Union Bible College,164,null,2023,164
Union College,737,392,2023,1129
Union College,2082,null,2023,2082
Union Institute & University,null,null,2023,null
Union Presbyterian Seminary,null,173,2023,173
Union Theological Seminary in the City of New York,null,220,2023,220
Union University,1891,783,2023,2674
United International College,175,31,2023,206
United Lutheran Seminary,null,258,2023,258
United States Air Force Academy,4124,null,2023,4124
United States Coast Guard Academy,1081,null,2023,1081
United States Merchant Marine Academy,947,14,2023,961
United States Military Academy,4508,null,2023,4508
United States Naval Academy,4465,null,2023,4465
United States Sports Academy,144,128,2023,272
United States University,178,2361,2023,2539
United Talmudical Seminary,2006,null,2023,2006
United Theological Seminary,null,471,2023,471
United Theological Seminary of the Twin Cities,null,244,2023,244
United Tribes Technical College,542,null,2023,542
Unitek College,5191,null,2023,5191
Unity Environmental University,5655,704,2023,6359
Universal Technology College of Puerto Rico,149,null,2023,149
Universidad Adventista de las Antillas,781,105,2023,886
Universidad Ana G. Mendez-Carolina Campus,4498,725,2023,5223
Universidad Ana G. Mendez-Cupey Campus,4612,1374,2023,5986
Universidad Ana G. Mendez-Gurabo Campus,7688,2030,2023,9718
Universidad Central de Bayamon,617,166,2023,783
Universidad Central Del Caribe,90,468,2023,558
Universidad del Sagrado Corazon,4099,561,2023,4660
Universidad Pentecostal Mizpa,176,56,2023,232
Universidad Politecnica de Puerto Rico,3841,549,2023,4390
Universidad Teologica del Caribe,195,106,2023,301
University at Albany,12190,4690,2023,16880
University at Buffalo,20463,11426,2023,31889
University of Advancing Technology,892,68,2023,960
University of Akron Main Campus,11452,2066,2023,13518
University of Alabama at Birmingham,12382,8778,2023,21160
University of Alabama in Huntsville,6851,1892,2023,8743
University of Alaska Anchorage,10162,634,2023,10796
University of Alaska Fairbanks,5638,1002,2023,6640
University of Alaska Southeast,1678,240,2023,1918
University of Antelope Valley,null,null,2023,null
University of Arizona,41899,11102,2023,53001
University of Arkansas,27472,4668,2023,32140
University of Arkansas at Little Rock,5789,2369,2023,8158
University of Arkansas at Monticello,2328,411,2023,2739
University of Arkansas at Pine Bluff,1905,195,2023,2100
University of Arkansas for Medical Sciences,1380,1895,2023,3275
University of Arkansas Grantham,3203,539,2023,3742
University of Arkansas-Fort Smith,5463,43,2023,5506
University of Baltimore,1292,1809,2023,3101
University of Bridgeport,1479,2624,2023,4103
University of California College of the Law-San Francisco,null,1216,2023,1216
University of California-Berkeley,33078,12621,2023,45699
University of California-Davis,31797,7910,2023,39707
University of California-Irvine,29503,7079,2023,36582
University of California-Los Angeles,33040,13638,2023,46678
University of California-Merced,8372,775,2023,9147
University of California-Riverside,22646,3780,2023,26426
University of California-San Diego,33792,8584,2023,42376
University of California-San Francisco,null,3126,2023,3126
University of California-Santa Barbara,23232,2836,2023,26068
University of California-Santa Cruz,17812,1952,2023,19764
University of Central Arkansas,7884,1906,2023,9790
University of Central Florida,59470,9763,2023,69233
University of Central Missouri,7203,5585,2023,12788
University of Central Oklahoma,10454,1694,2023,12148
University of Charleston,2087,671,2023,2758
The University of Chicago,7643,10696,2023,18339
University of Cincinnati-Blue Ash College,7166,null,2023,7166
University of Cincinnati-Clermont College,8324,null,2023,8324
University of Cincinnati-Main Campus,31184,12154,2023,43338
University of Colorado Boulder,32105,9327,2023,41432
University of Colorado Colorado Springs,9398,1815,2023,11213
University of Colorado Denver/Anschutz Medical Campus,14027,9382,2023,23409
University of Connecticut,19388,7976,2023,27364
University of Connecticut-Avery Point,474,null,2023,474
University of Connecticut-Hartford Campus,1494,null,2023,1494
University of Connecticut-Stamford,2240,null,2023,2240
University of Connecticut-Waterbury Campus,760,null,2023,760
University of Dallas,1427,755,2023,2182
University of Dayton,8176,3128,2023,11304
University of Delaware,19772,4449,2023,24221
University of Denver,6415,6972,2023,13387
University of Detroit Mercy,3352,2176,2023,5528
University of Dubuque,1477,318,2023,1795
University of East-West Medicine,null,110,2023,110
University of Evansville,1741,368,2023,2109
University of Florida,34924,19890,2023,54814
University of Florida-Online,5462,null,2023,5462
University of Fort Lauderdale,260,20,2023,280
University of Georgia,31514,10101,2023,41615
University of Guam,2617,278,2023,2895
University of Hartford,4131,1782,2023,5913
University of Hawaii at Hilo,2424,357,2023,2781
University of Hawaii at Manoa,14576,4680,2023,19256
University of Hawaii Maui College,2647,null,2023,2647
University of Hawaii-West Oahu,2863,null,2023,2863
University of Health Sciences and Pharmacy in St. Louis,275,356,2023,631
University of Holy Cross,806,346,2023,1152
University of Houston,37946,8730,2023,46676
University of Houston-Clear Lake,6108,2103,2023,8211
University of Houston-Downtown,12880,1225,2023,14105
University of Houston-Victoria,2707,1077,2023,3784
University of Idaho,9269,2580,2023,11849
University of Illinois Chicago,22107,11415,2023,33522
University of Illinois Springfield,2342,2319,2023,4661
University of Illinois Urbana-Champaign,35564,20999,2023,56563
University of Indianapolis,3957,1490,2023,5447
University of Iowa,22130,7912,2023,30042
University of Jamestown,964,251,2023,1215
University of Kansas,20696,7710,2023,28406
University of Kentucky,23930,8773,2023,32703
University of La Verne,3352,2244,2023,5596
University of Louisiana at Lafayette,13179,2166,2023,15345
University of Louisiana at Monroe,6550,1722,2023,8272
University of Louisville,16194,5945,2023,22139
University of Lynchburg,1792,800,2023,2592
University of Maine,9267,2493,2023,11760
University of Maine at Augusta,4250,73,2023,4323
University of Maine at Farmington,1605,345,2023,1950
University of Maine at Fort Kent,1357,49,2023,1406
University of Maine at Presque Isle,2152,35,2023,2187
University of Management and Technology,323,844,2023,1167
University of Mary,2650,1144,2023,3794
University of Mary Hardin-Baylor,3024,496,2023,3520
University of Mary Washington,3611,197,2023,3808
University of Maryland Eastern Shore,2233,611,2023,2844
University of Maryland Global Campus,50793,9291,2023,60084
University of Maryland  Baltimore,978,5689,2023,6667
University of Maryland-Baltimore County,10490,3658,2023,14148
University of Maryland-College Park,30608,10205,2023,40813
University of Massachusetts Chan Medical School,null,1394,2023,1394
University of Massachusetts Global,5511,3558,2023,9069
University of Massachusetts-Amherst,23936,7874,2023,31810
University of Massachusetts-Boston,12373,3437,2023,15810
University of Massachusetts-Dartmouth,5602,2157,2023,7759
University of Massachusetts-Lowell,12128,4642,2023,16770
University of Memphis,16771,4965,2023,21736
University of Miami,12883,6710,2023,19593
University of Michigan-Ann Arbor,33730,18335,2023,52065
University of Michigan-Dearborn,6071,1964,2023,8035
University of Michigan-Flint,4751,1379,2023,6130
University of Minnesota-Crookston,2518,null,2023,2518
University of Minnesota-Duluth,8525,825,2023,9350
University of Minnesota-Morris,1020,null,2023,1020
University of Minnesota-Rochester,588,null,2023,588
University of Minnesota-Twin Cities,39556,15334,2023,54890
University of Mississippi,19094,4949,2023,24043
University of Missouri-Columbia,23613,7400,2023,31013
University of Missouri-Kansas City,10149,5128,2023,15277
University of Missouri-St Louis,12137,2663,2023,14800
University of Mobile,1688,223,2023,1911
University of Montevallo,2545,397,2023,2942
University of Mount Olive,1937,191,2023,2128
University of Mount Saint Vincent,2398,804,2023,3202
University of Mount Union,1927,242,2023,2169
University of Nebraska at Kearney,4224,1793,2023,6017
University of Nebraska at Omaha,11859,3156,2023,15015
University of Nebraska Medical Center,897,2889,2023,3786
University of Nebraska-Lincoln,19338,4648,2023,23986
University of Nevada-Las Vegas,25794,5300,2023,31094
University of Nevada-Reno,17965,3813,2023,21778
University of New England,3863,2610,2023,6473
University of New Hampshire at Manchester,522,226,2023,748
University of New Hampshire College of Professional Studies Online,1100,226,2023,1326
University of New Hampshire-Franklin Pierce School of Law,null,685,2023,685
University of New Hampshire-Main Campus,11376,2250,2023,13626
University of New Haven,4865,4965,2023,9830
University of New Mexico-Main Campus,16905,5795,2023,22700
University of New Orleans,5476,1125,2023,6601
University of North Alabama,7451,2608,2023,10059
University of North Carolina Asheville,2907,18,2023,2925
University of North Carolina at Chapel Hill,20681,11553,2023,32234
University of North Carolina at Charlotte,23981,6317,2023,30298
University of North Carolina at Greensboro,14156,3587,2023,17743
University of North Carolina at Pembroke,5485,2145,2023,7630
University of North Carolina School of the Arts,902,172,2023,1074
University of North Carolina Wilmington,14494,3493,2023,17987
University of North Dakota,10216,3956,2023,14172
University of North Florida,14264,2189,2023,16453
University of North Georgia,17242,832,2023,18074
University of North Texas,33858,13649,2023,47507
University of North Texas at Dallas,3018,779,2023,3797
University of North Texas Health Science Center,17,2327,2023,2344
University of Northern Colorado,6616,2451,2023,9067
University of Northern Iowa,7734,1279,2023,9013
University of Northwestern Ohio,2572,34,2023,2606
University of Northwestern-St Paul,3173,89,2023,3262
University of Notre Dame,8968,4206,2023,13174
University of Oklahoma-Health Sciences Center,1143,2420,2023,3563
University of Oklahoma-Norman Campus,22025,7120,2023,29145
University of Oregon,19963,3823,2023,23786
"University of Pennsylvania, Trustees of the",11611,17100,2023,28711
University of Phoenix-Arizona,80637,20513,2023,101150
University of Phoenix-California,155,102,2023,257
University of Phoenix-Hawaii,10,null,2023,10
University of Phoenix-Nevada,null,null,2023,null
University of Phoenix-Texas,20,null,2023,20
University of Pikeville,1596,1014,2023,2610
University of Pittsburgh-Bradford,1003,null,2023,1003
University of Pittsburgh-Greensburg,1326,null,2023,1326
University of Pittsburgh-Johnstown,1940,null,2023,1940
University of Pittsburgh-Pittsburgh Campus,25171,9354,2023,34525
University of Portland,3136,321,2023,3457
University of Providence,562,115,2023,677
University of Puerto Rico at Cayey,2218,null,2023,2218
University of Puerto Rico at Ponce,2319,null,2023,2319
University of Puerto Rico-Aguadilla,1894,null,2023,1894
University of Puerto Rico-Arecibo,2822,9,2023,2831
University of Puerto Rico-Bayamon,2967,null,2023,2967
University of Puerto Rico-Carolina,2428,null,2023,2428
University of Puerto Rico-Humacao,2611,null,2023,2611
University of Puerto Rico-Mayaguez,9855,861,2023,10716
University of Puerto Rico-Medical Sciences,224,1726,2023,1950
University of Puerto Rico-Rio Piedras,8873,2620,2023,11493
University of Puerto Rico-Utuado,317,null,2023,317
University of Puget Sound,1632,282,2023,1914
University of Redlands,2100,1092,2023,3192
University of Rhode Island,14670,2681,2023,17351
University of Richmond,3054,722,2023,3776
University of Rio Grande,2030,138,2023,2168
University of Rochester,6764,5396,2023,12160
University of Saint Francis-Fort Wayne,1601,251,2023,1852
University of Saint Joseph,879,1060,2023,1939
University of Saint Katherine,230,32,2023,262
University of Saint Mary,1015,399,2023,1414
University of Saint Mary of the Lake,null,203,2023,203
University of San Diego,5726,3384,2023,9110
University of San Francisco,5729,3483,2023,9212
University of Science and Arts of Oklahoma,914,null,2023,914
University of Scranton,3666,1159,2023,4825
University of Silicon Andhra,87,162,2023,249
University of Silicon Valley,378,14,2023,392
University of Sioux Falls,1276,233,2023,1509
University of South Alabama,8914,4854,2023,13768
University of South Carolina Aiken,3109,746,2023,3855
University of South Carolina Beaufort,2067,54,2023,2121
University of South Carolina-Columbia,28470,8109,2023,36579
University of South Carolina-Upstate,4471,475,2023,4946
University of South Dakota,7095,2773,2023,9868
University of South Florida,37269,11303,2023,48572
University of Southern California,21023,26124,2023,47147
University of Southern Indiana,7428,1854,2023,9282
University of Southern Maine,5520,2008,2023,7528
University of Southern Mississippi,10012,3098,2023,13110
University of St Francis,1306,1879,2023,3185
University of St Thomas,6044,3077,2023,9121
University of St Thomas,2969,844,2023,3813
University of St. Augustine for Health Sciences,null,4748,2023,4748
University of Texas Southwestern Medical Center,null,2501,2023,2501
University of the Arts,1072,135,2023,1207
University of the Cumberlands,6091,14236,2023,20327
University of the District of Columbia,3297,558,2023,3855
University of the Incarnate Word,4726,2525,2023,7251
University of the Ozarks,763,null,2023,763
University of the Pacific,3297,3458,2023,6755
University of the People,36386,6481,2023,42867
University of the Potomac-VA Campus,177,370,2023,547
University of the Potomac-Washington DC Campus,266,327,2023,593
University of the Southwest,337,697,2023,1034
University of the Virgin Islands,1508,231,2023,1739
University of the West,53,101,2023,154
University of Toledo,11447,3492,2023,14939
University of Tulsa,2485,1074,2023,3559
University of Utah,26827,8433,2023,35260
University of Valley Forge,498,75,2023,573
University of Vermont,12168,2152,2023,14320
University of Virginia's College at Wise,1911,null,2023,1911
University of Virginia-Main Campus,17612,8312,2023,25924
University of Washington-Bothell Campus,5248,561,2023,5809
University of Washington-Seattle Campus,39515,16105,2023,55620
University of Washington-Tacoma Campus,4014,763,2023,4777
University of West Alabama,2673,3521,2023,6194
University of West Florida,9661,4710,2023,14371
University of West Georgia,8413,4315,2023,12728
University of West Los Angeles,6,250,2023,256
University of Western States,null,979,2023,979
University of Wisconsin-Eau Claire,9304,687,2023,9991
University of Wisconsin-Green Bay,9853,473,2023,10326
University of Wisconsin-La Crosse,9378,921,2023,10299
University of Wisconsin-Madison,36797,12808,2023,49605
University of Wisconsin-Milwaukee,18047,4434,2023,22481
University of Wisconsin-Milwaukee Flex,580,null,2023,580
University of Wisconsin-Oshkosh,12674,1087,2023,13761
University of Wisconsin-Parkside,3263,745,2023,4008
University of Wisconsin-Parkside Flex,143,null,2023,143
University of Wisconsin-Platteville,6270,426,2023,6696
University of Wisconsin-River Falls,4675,389,2023,5064
University of Wisconsin-Stevens Point,7419,690,2023,8109
University of Wisconsin-Stout,6093,858,2023,6951
University of Wisconsin-Superior,2086,640,2023,2726
University of Wisconsin-Whitewater,9812,1707,2023,11519
University of Wyoming,8250,2663,2023,10913
Upper Iowa University,2504,598,2023,3102
Upstate Medical University,118,1168,2023,1286
Urbana Theological Seminary,null,null,2023,null
URBE University,28,20,2023,48
Urshan College,514,null,2023,514
Urshan Graduate School of Theology,null,120,2023,120
Ursinus College,1492,null,2023,1492
Ursuline College,637,286,2023,923
Uta Mesivta of Kiryas Joel,2729,null,2023,2729
Utah State University,25048,3015,2023,28063
Utah Tech University,12481,86,2023,12567
Utah Valley University,43794,857,2023,44651
Utica University,2580,1153,2023,3733
Valdosta State University,7230,2921,2023,10151
Valencia College,42524,null,2023,42524
Valley City State University,1628,126,2023,1754
Valley College-Martinsburg,651,null,2023,651
Valor Christian College,352,null,2023,352
Valparaiso University,2255,591,2023,2846
Vanderbilt University,7152,6304,2023,13456
VanderCook College of Music,99,241,2023,340
Vanguard University of Southern California,1987,232,2023,2219
Vassar College,2456,null,2023,2456
Vaughn College of Aeronautics and Technology,1202,10,2023,1212
Veritas Baptist College,140,60,2023,200
Vermont College of Fine Arts,null,223,2023,223
Vermont Law and Graduate School,null,690,2023,690
Vermont State University,4087,1049,2023,5136
Villa Maria College,545,null,2023,545
Villanova University,7063,3048,2023,10111
Vincennes University,18438,null,2023,18438
Virginia Beach Theological Seminary,2,33,2023,35
Virginia Commonwealth University,21205,7033,2023,28238
Virginia Military Institute,1560,null,2023,1560
Virginia Polytechnic Institute and State University,30504,7790,2023,38294
Virginia State University,4829,361,2023,5190
Virginia Union University,1170,492,2023,1662
Virginia University of Integrative Medicine,null,403,2023,403
Virginia University of Lynchburg,170,419,2023,589
Virginia Wesleyan University,1626,85,2023,1711
Visible Music College,168,14,2023,182
Viterbo University,1443,858,2023,2301
Voorhees University,460,55,2023,515
Wabash College,845,null,2023,845
Wade College,205,null,2023,205
Wagner College,1592,340,2023,1932
Wake Forest University,5471,3650,2023,9121
Walden University,7362,36861,2023,44223
Waldorf University,2196,461,2023,2657
Walla Walla Community College,2982,null,2023,2982
Walla Walla University,1266,131,2023,1397
Walnut Hill College,127,null,2023,127
Walsh College,545,589,2023,1134
Walsh University,1423,737,2023,2160
Warner Pacific University,350,null,2023,350
Warner Pacific University Professional and Graduate Studies,161,119,2023,280
Warner University,798,93,2023,891
Warren Wilson College,742,55,2023,797
Wartburg College,1454,18,2023,1472
Wartburg Theological Seminary,null,164,2023,164
Washburn University,4930,733,2023,5663
Washington & Jefferson College,1162,null,2023,1162
Washington Adventist University,605,90,2023,695
Washington  Lee University,1898,379,2023,2277
Washington College,916,null,2023,916
Washington State Community College,1637,null,2023,1637
Washington State University,21923,4567,2023,26490
Washington University in St. Louis,8267,8233,2023,16500
Washington University of Science and Technology,302,803,2023,1105
Watts College of Nursing,134,null,2023,134
Wayland Baptist University,2162,699,2023,2861
Wayne State College,3934,873,2023,4807
Wayne State University,16117,7436,2023,23553
Waynesburg University,1088,227,2023,1315
Weatherford College,5440,null,2023,5440
Webb Institute,105,null,2023,105
Webber International University,879,51,2023,930
Weber State University,29534,1002,2023,30536
Webster University,2204,5402,2023,7606
Weill Medical College of Cornell University,null,1390,2023,1390
Welch College,358,31,2023,389
Wellesley College,2418,null,2023,2418
Wells College,357,null,2023,357
Wenatchee Valley College,2819,null,2023,2819
Wentworth Institute of Technology,3813,205,2023,4018
Wesley Biblical Seminary,27,136,2023,163
Wesley Theological Seminary,null,450,2023,450
Wesleyan College,595,46,2023,641
Wesleyan University,3066,205,2023,3271
West Chester University of Pennsylvania,14344,2732,2023,17076
West Coast University-Center for Graduate Studies,null,527,2023,527
West Coast University-Dallas,1014,601,2023,1615
West Coast University-Los Angeles,2687,null,2023,2687
West Coast University-Miami,900,null,2023,900
West Coast University-Ontario,2647,null,2023,2647
West Coast University-Orange County,3168,1313,2023,4481
West Liberty University,1944,404,2023,2348
West Los Angeles College,9299,null,2023,9299
West Texas A & M University,6786,2211,2023,8997
West Virginia Junior College-Morgantown,584,null,2023,584
West Virginia School of Osteopathic Medicine,null,795,2023,795
West Virginia State University,3322,136,2023,3458
West Virginia University,18615,5585,2023,24200
West Virginia University at Parkersburg,2584,null,2023,2584
West Virginia University Institute of Technology,1448,null,2023,1448
West Virginia Wesleyan College,938,53,2023,991
Westcliff University,2037,4495,2023,6532
Western Carolina University,10009,1619,2023,11628
Western Colorado University,3569,484,2023,4053
Western Connecticut State University,3542,595,2023,4137
Western Governors University,135822,49193,2023,185015
Western Illinois University,5025,2048,2023,7073
Western Kentucky University,14590,2169,2023,16759
Western Michigan University,13026,3667,2023,16693
Western Michigan University Homer Stryker M.D. School of Medicine,null,352,2023,352
Western Nevada College,4188,null,2023,4188
Western New England University,2584,990,2023,3574
Western New Mexico University,2602,968,2023,3570
Western Oregon University,3249,608,2023,3857
Western Seminary,null,770,2023,770
Western Technical College,619,16,2023,635
Western Technical College,1148,null,2023,1148
Western Theological Seminary,null,424,2023,424
Western University of Health Sciences,null,3625,2023,3625
Western Washington University,13704,947,2023,14651
Western Wyoming Community College,2464,null,2023,2464
Westfield State University,3788,767,2023,4555
Westminster College,593,null,2023,593
Westminster College,1155,48,2023,1203
Westminster Theological Seminary,null,1031,2023,1031
Westminster Theological Seminary in California,null,101,2023,101
Westminster University,895,319,2023,1214
Westmont College,1310,null,2023,1310
Whatcom Community College,3490,null,2023,3490
Wheaton College,2119,680,2023,2799
Wheaton College (Massachusetts),1778,null,2023,1778
Wheeling University,588,160,2023,748
Whitman College,1544,null,2023,1544
Whittier College,813,46,2023,859
Whitworth University,1939,406,2023,2345
Whitworth University-Adult Degree Programs,170,null,2023,170
Wichita State University,12856,3885,2023,16741
Widener University,2811,2799,2023,5610
Wilberforce University,602,15,2023,617
Wiley University,636,null,2023,636
Wilkes University,1956,3242,2023,5198
Willamette University,1571,541,2023,2112
William & Mary,6963,2799,2023,9762
William Carey University,3113,2335,2023,5448
William James College,36,915,2023,951
William Jessup University,1056,428,2023,1484
William Jewell College,868,18,2023,886
William Paterson University of New Jersey,6546,2880,2023,9426
William Peace University,730,null,2023,730
William Penn University,1449,87,2023,1536
William Woods University,1097,632,2023,1729
Williams Baptist University,491,23,2023,514
Williams College,2112,56,2023,2168
Williamson Christian College,40,17,2023,57
Wilmington College,924,40,2023,964
Wilmington University,9355,5323,2023,14678
Wilson College,1180,514,2023,1694
Winebrenner Theological Seminary,null,125,2023,125
Wingate University,2464,858,2023,3322
Winona State University,5267,791,2023,6058
Winston-Salem State University,4260,516,2023,4776
Winthrop University,3787,907,2023,4694
Wisconsin Lutheran College,1021,73,2023,1094
Wisconsin School of Professional Psychology,null,76,2023,76
Wittenberg University,1288,45,2023,1333
Wofford College,1873,null,2023,1873
Women's Institute of Torah Seminary and College,191,null,2023,191
Won Institute of Graduate Studies,null,112,2023,112
Wongu University of Oriental Medicine,null,25,2023,25
Woodbury University,825,73,2023,898
Worcester Polytechnic Institute,5453,1900,2023,7353
Worcester State University,4734,877,2023,5611
World Mission University,180,260,2023,440
Wright State University-Lake Campus,1398,null,2023,1398
Wright State University-Main Campus,7012,2872,2023,9884
Xavier University,4748,1252,2023,6000
Xavier University of Louisiana,2591,590,2023,3181
Yakima Valley College,3523,null,2023,3523
Yale University,6818,8263,2023,15081
Yavapai College,7200,null,2023,7200
Yeshiva Bais Aharon,13,null,2023,13
Yeshiva Chemdas Hatorah,79,null,2023,79
Yeshiva College of the Nations Capital,57,null,2023,57
Yeshiva D'monsey Rabbinical College,86,null,2023,86
Yeshiva Derech Chaim,119,33,2023,152
Yeshiva Gedola Tiferes Yaakov Yitzchok,69,null,2023,69
Yeshiva Gedola Tiferes Yerachmiel,172,null,2023,172
Yeshiva Gedolah Imrei Yosef D'spinka,232,null,2023,232
Yeshiva Gedolah Keren Hatorah,189,null,2023,189
Yeshiva Gedolah Kesser Torah,82,null,2023,82
Yeshiva Gedolah of Cliffwood,55,null,2023,55
Yeshiva Gedolah of Greater Detroit,71,null,2023,71
Yeshiva Gedolah of Woodlake Village,79,null,2023,79
Yeshiva Gedolah Shaarei Shmuel,132,null,2023,132
Yeshiva Gedolah Tiferes Boruch,70,null,2023,70
Yeshiva Gedolah Zichron Leyma,47,null,2023,47
Yeshiva Karlin Stolin,136,30,2023,166
Yeshiva Kollel Tifereth Elizer,373,null,2023,373
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,57,null,2023,57
Yeshiva of Kasho,174,null,2023,174
Yeshiva of Machzikai Hadas,461,null,2023,461
Yeshiva of Nitra Rabbinical College,249,21,2023,270
Yeshiva of Ocean,57,null,2023,57
Yeshiva of the Telshe Alumni,78,null,2023,78
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,157,null,2023,157
Yeshiva Ohr Naftoli,43,null,2023,43
Yeshiva Ohr Yisrael,17,null,2023,17
Yeshiva Shaar Ephraim,138,null,2023,138
Yeshiva Shaarei Torah of Rockland,141,null,2023,141
Yeshiva Sholom Shachna,118,null,2023,118
Yeshiva Toras Chaim,225,null,2023,225
Yeshiva University,3091,3735,2023,6826
Yeshiva Yesoda Hatorah Vetz Chaim,205,null,2023,205
Yeshiva Yesodei Hatorah,72,null,2023,72
Yeshiva Zichron Aryeh,36,null,2023,36
Yeshivah Gedolah Rabbinical College,77,null,2023,77
Yeshivas Be'er Yitzchok,52,null,2023,52
Yeshivas Emek Hatorah,93,null,2023,93
Yeshivas Novominsk,163,null,2023,163
Yeshivas Sanz Klauzenburg,107,null,2023,107
Yeshivat Hechal Shemuel,65,null,2023,65
Yeshivath Beth Moshe,39,2,2023,41
Yeshivath Shaar Hatorah,84,12,2023,96
Yeshivath Viznitz,921,227,2023,1148
Yeshivath Zichron Moshe,176,46,2023,222
Yo San University of Traditional Chinese Medicine,null,132,2023,132
York College of Pennsylvania,3308,412,2023,3720
York University,443,142,2023,585
Young Harris College,1403,17,2023,1420
Youngstown State University,8436,2604,2023,11040
Zane State College,1619,null,2023,1619
A T Still University of Health Sciences,null,3569,2016,3569
Aaniiih Nakoda College,149,null,2016,149
Abilene Christian University,3758,1152,2016,4910
Abilene Christian University-Undergraduate Online,null,null,2016,null
Abraham Baldwin Agricultural College,3475,null,2016,3475
Abraham Lincoln University,25,139,2016,164
Academy College,116,null,2016,116
Academy for Five Element Acupuncture,null,72,2016,72
Academy for Jewish Religion,null,null,2016,null
Academy for Jewish Religion California,null,64,2016,64
Academy of Art University,8303,4305,2016,12608
Academy of Chinese Culture and Health Sciences,null,126,2016,126
Acupuncture and Integrative Medicine College-Berkeley,null,91,2016,91
Acupuncture and Massage College,31,123,2016,154
Adams State University,2014,1356,2016,3370
Adelphi University,5205,2482,2016,7687
Adler Graduate School,null,298,2016,298
Adler University,null,1099,2016,1099
Adrian College,1653,31,2016,1684
AdventHealth University,1659,253,2016,1912
Agape College of Business and Science,null,null,2016,null
Agnes Scott College,927,null,2016,927
Agora University,null,null,2016,null
Aims Community College,5652,null,2016,5652
Air Force Institute of Technology-Graduate School of Engineering & Management,null,966,2016,966
Alabama A & M University,4851,1008,2016,5859
Alabama College of Osteopathic Medicine,null,605,2016,605
Alabama State University,4727,591,2016,5318
Alaska Bible College,40,null,2016,40
Alaska Pacific University,298,243,2016,541
Albany College of Pharmacy and Health Sciences,902,506,2016,1408
Albany Law School,null,395,2016,395
Albany Medical College,null,822,2016,822
Albany State University,2594,447,2016,3041
Albert Einstein College of Medicine,null,null,2016,null
Albertus Magnus College,1220,335,2016,1555
Albion College,1418,null,2016,1418
Albizu University-Miami,363,666,2016,1029
Albizu University-San Juan,265,1125,2016,1390
Albright College,2304,14,2016,2318
Alcorn State University,2825,595,2016,3420
Alder Graduate School of Education,null,null,2016,null
Alfred University,1815,575,2016,2390
Alhambra Medical University,42,90,2016,132
Alice Lloyd College,605,null,2016,605
Allegheny College,1920,null,2016,1920
Allegheny Wesleyan College,79,null,2016,79
Allen College,360,260,2016,620
Allen University,600,null,2016,600
Alliant International University-San Diego,1471,2532,2016,4003
Alma College,1451,null,2016,1451
Alpena Community College,1536,null,2016,1536
Alvernia University,2323,549,2016,2872
Alverno College,1413,604,2016,2017
Amberton University,215,1112,2016,1327
Ambria College of Nursing,366,null,2016,366
America Evangelical University,null,null,2016,null
American Academy of Art College,297,null,2016,297
American Academy of Health and Wellness,null,88,2016,88
American Baptist College,139,null,2016,139
American College of Acupuncture and Oriental Med,null,134,2016,134
American College of Education,null,3844,2016,3844
American College of Financial Services,9958,563,2016,10521
American College of Healthcare Sciences,494,247,2016,741
American College of the Building Arts,null,null,2016,null
American Film Institute Conservatory,null,338,2016,338
American Institute of Alternative Medicine,376,null,2016,376
American InterContinental University System,9048,1043,2016,10091
American InterContinental University-Atlanta,1994,211,2016,2205
American InterContinental University-Houston,335,99,2016,434
American International College,1414,1963,2016,3377
American Islamic College,22,13,2016,35
American Jewish University,65,94,2016,159
American Medical Academy,246,null,2016,246
American Medical Sciences Center,75,null,2016,75
American Musical and Dramatic Academy,1565,null,2016,1565
American National University,1012,78,2016,1090
American National University-Pikeville,681,null,2016,681
American Public University System,39662,8961,2016,48623
American Samoa Community College,1253,null,2016,1253
American University,7900,5446,2016,13346
American University of Health Sciences,261,1,2016,262
American University of Puerto Rico,589,37,2016,626
American University of Puerto Rico,757,47,2016,804
Amherst College,1849,null,2016,1849
Amridge University,294,303,2016,597
Ana G. Mendez University,null,80,2016,80
Anabaptist Mennonite Biblical Seminary,null,99,2016,99
Anderson University,1883,349,2016,2232
Anderson University,2944,488,2016,3432
Andrew College,276,null,2016,276
Andrews University,1673,1644,2016,3317
Angeles College,167,null,2016,167
Angelo State University,8032,1549,2016,9581
Anna Maria College,1060,326,2016,1386
Antelope Valley Community College District,14105,null,2016,14105
Antigua College International,null,null,2016,null
Antioch College,223,null,2016,223
